Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1959-60,22.0,STL,NBA,C-F,62.0,,14.1,2.3,5.5,0.426,1.2,1.9,0.639,3.8,0.6,2.1,5.9,Bob Ferry,6-8
1960-61,23.0,DET,NBA,C-F,79.0,,21.0,4.4,9.8,0.451,2.4,3.2,0.741,6.3,1.6,2.6,11.3,Bob Ferry,6-8
1961-62,24.0,DET,NBA,C-F,80.0,,24.0,5.1,11.7,0.438,3.6,5.3,0.678,6.3,1.8,2.5,13.9,Bob Ferry,6-8
1962-63,25.0,DET,NBA,C-F,79.0,,31.4,5.4,12.5,0.433,2.8,4.3,0.649,6.8,2.2,3.1,13.6,Bob Ferry,6-8
1963-64,26.0,DET,NBA,C-F,74.0,,20.6,4.0,9.1,0.445,2.5,3.8,0.667,5.8,1.3,2.4,10.6,Bob Ferry,6-8
1964-65,27.0,BAL,NBA,C-F,77.0,,16.6,1.9,4.4,0.423,1.6,2.6,0.613,4.6,0.8,2.0,5.3,Bob Ferry,6-8
1965-66,28.0,BAL,NBA,C-F,66.0,,18.6,2.8,6.9,0.411,1.6,2.4,0.669,5.1,1.7,2.0,7.3,Bob Ferry,6-8
1966-67,29.0,BAL,NBA,C-F,51.0,,19.4,2.6,6.2,0.419,1.4,2.2,0.636,5.1,1.8,1.9,6.5,Bob Ferry,6-8
1967-68,30.0,BAL,NBA,C-F,59.0,,14.3,2.2,5.3,0.412,1.2,2.0,0.624,3.2,1.0,1.6,5.6,Bob Ferry,6-8
1968-69,31.0,BAL,NBA,C-F,7.0,,5.1,0.7,2.0,0.357,0.4,0.9,0.5,1.3,0.6,0.4,1.9,Bob Ferry,6-8
