Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1950-51,22.0,FTW,NBA,C,68.0,,,4.8,13.9,0.346,3.8,5.8,0.659,10.0,1.3,3.6,13.5
1951-52,23.0,FTW,NBA,C,66.0,,39.6,5.9,15.0,0.394,4.0,6.0,0.678,13.3,3.0,3.7,15.9
1952-53,24.0,FTW,NBA,C,67.0,,34.4,4.6,12.9,0.36,5.0,6.9,0.723,11.5,2.3,4.0,14.3
1953-54,25.0,FTW,NBA,C,72.0,,37.4,5.2,12.8,0.409,4.7,6.6,0.712,13.4,2.2,3.6,15.1
1954-55,26.0,FTW,NBA,C,70.0,,32.3,5.7,11.7,0.487,5.6,7.3,0.766,10.0,1.7,3.8,17.0
1955-56,27.0,FTW,NBA,C,72.0,,28.1,5.1,11.4,0.447,6.0,7.7,0.778,9.0,1.8,3.7,16.2
1956-57,28.0,FTW,NBA,C,61.0,,25.1,4.0,10.1,0.394,4.5,6.2,0.718,9.1,1.2,3.6,12.4
1957-58,29.0,MNL,NBA,C,72.0,,30.6,5.4,13.6,0.398,5.9,7.9,0.756,12.2,1.5,4.2,16.8
1958-59,30.0,MNL,NBA,C,72.0,,26.8,4.2,10.7,0.39,3.9,5.1,0.765,8.7,1.3,3.2,12.3
1959-60,31.0,TOT,NBA,C,72.0,,27.3,4.3,10.6,0.407,3.5,4.4,0.791,8.6,1.3,3.3,12.2
1959-60,31.0,MNL,NBA,C,47.0,,29.7,4.8,12.4,0.387,3.7,4.7,0.786,9.3,1.6,3.7,13.3
1959-60,31.0,STL,NBA,C,25.0,,22.6,3.5,7.4,0.47,3.2,4.0,0.8,7.3,0.9,2.8,10.2
1960-61,32.0,STL,NBA,C,68.0,,17.8,2.9,7.2,0.397,2.4,3.1,0.788,5.7,1.1,2.7,8.1
1961-62,33.0,STL,NBA,C,57.0,,20.2,3.6,7.6,0.471,2.5,3.1,0.815,5.8,1.4,3.3,9.7
Career,,,NBA,,817.0,,29.2,4.7,11.5,0.405,4.4,5.9,0.741,9.8,1.7,3.6,13.7
,,,,,,,,,,,,,,,,,
7 seasons,,FTW,NBA,,476.0,,32.9,5.1,12.5,0.404,4.8,6.7,0.724,10.9,1.9,3.7,15.0
3 seasons,,MNL,NBA,,191.0,,29.0,4.8,12.2,0.393,4.6,6.0,0.765,10.2,1.4,3.7,14.2
3 seasons,,STL,NBA,,150.0,,19.5,3.2,7.4,0.438,2.6,3.2,0.8,6.0,1.2,2.9,9.1
