Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,19.0,CHI,NBA,C,44.0,44.0,25.2,4.1,8.4,0.485,0.1,0.7,0.188,4.0,7.7,0.513,0.493,2.0,2.5,0.795,2.0,5.0,7.0,1.8,0.6,1.3,1.5,3.5,10.3
2019-20,20.0,CHI,NBA,C,43.0,43.0,29.2,4.3,8.0,0.534,0.1,0.7,0.207,4.1,7.3,0.564,0.542,2.6,3.5,0.737,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8,11.3
2020-21,21.0,TOT,NBA,C,54.0,44.0,25.5,4.3,8.5,0.503,0.3,0.9,0.294,4.0,7.5,0.53,0.52,2.4,3.3,0.732,2.4,5.8,8.2,1.9,0.6,0.8,1.4,2.7,11.2
2020-21,21.0,CHI,NBA,C,32.0,25.0,24.8,4.0,7.9,0.512,0.3,0.7,0.364,3.8,7.2,0.526,0.528,2.6,3.5,0.739,2.2,5.6,7.8,2.2,0.6,0.8,1.5,3.0,10.9
2020-21,21.0,ORL,NBA,C,22.0,19.0,26.5,4.6,9.3,0.493,0.3,1.3,0.241,4.3,8.0,0.534,0.51,2.2,3.1,0.721,2.8,6.0,8.8,1.6,0.8,0.8,1.3,2.3,11.7
2021-22,22.0,ORL,NBA,PF,62.0,61.0,29.9,5.8,11.0,0.525,1.1,3.5,0.327,4.7,7.6,0.615,0.576,2.3,3.3,0.691,2.2,8.2,10.5,2.8,0.6,0.7,1.9,2.7,15.0
2022-23,23.0,ORL,NBA,C,52.0,49.0,30.1,5.8,11.0,0.529,1.3,3.9,0.348,4.5,7.1,0.627,0.59,2.7,3.6,0.746,2.2,6.6,8.8,2.3,0.4,0.6,2.0,2.8,15.6
Career,,,NBA,,255.0,241.0,28.1,4.9,9.5,0.517,0.7,2.1,0.317,4.3,7.4,0.572,0.551,2.4,3.3,0.734,2.4,6.5,8.9,2.1,0.6,0.8,1.7,3.0,12.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ORL,NBA,,136.0,129.0,29.4,5.6,10.7,0.522,1.1,3.3,0.331,4.5,7.5,0.605,0.572,2.4,3.4,0.717,2.3,7.2,9.6,2.4,0.6,0.7,1.8,2.7,14.7
3 seasons,,CHI,NBA,,119.0,112.0,26.5,4.1,8.1,0.509,0.2,0.7,0.241,4.0,7.4,0.535,0.52,2.4,3.2,0.755,2.5,5.6,8.1,1.7,0.6,1.0,1.6,3.4,10.8
