Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,22.0,Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA)
1980-81,23.0,Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France),Did Not Play (other pro league—France)
1981-82,24.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
1982-83,25.0,Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA)
1983-84,26.0,PHI,NBA,PF,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,4.0,.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1984-85,27.0,TOT,NBA,"C,PF",31,4,21.5,2.2,4.1,.528,0.0,0.0,,2.2,4.1,.528,.528,1.3,1.9,.690,2.3,3.6,5.9,0.8,0.7,2.5,0.8,3.5,5.6
1984-85,27.0,CHI,NBA,PF,3,0,9.7,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,1.3,2.0,.667,0.7,1.3,2.0,0.3,0.0,1.7,1.3,2.0,2.7
1984-85,27.0,WSB,NBA,C,28,4,22.8,2.3,4.4,.528,0.0,0.0,,2.3,4.4,.528,.528,1.3,1.9,.692,2.5,3.9,6.4,0.9,0.8,2.6,0.8,3.6,5.9
1985-86,28.0,WSB,NBA,C,81,58,19.9,1.6,3.1,.508,0.0,0.0,.000,1.6,3.1,.510,.508,0.7,1.1,.628,1.5,2.5,4.0,0.9,0.7,1.6,0.9,2.9,3.9
1986-87,29.0,WSB,NBA,PF,79,64,20.4,1.5,3.2,.474,0.0,0.0,.000,1.5,3.1,.476,.474,0.6,1.0,.632,1.8,2.7,4.5,1.0,0.8,2.1,1.0,3.2,3.6
1987-88,30.0,WSB,NBA,PF,69,49,19.0,1.0,2.6,.407,0.0,0.0,.000,1.0,2.6,.409,.407,0.8,1.1,.707,1.5,3.2,4.7,0.9,0.8,1.6,0.8,3.3,2.9
1988-89,31.0,WSB,NBA,C,53,45,21.8,1.1,2.4,.480,0.0,0.0,.000,1.1,2.3,.484,.480,0.3,0.5,.640,1.5,3.4,4.8,0.8,0.7,1.4,0.7,3.5,2.6
1989-90,32.0,WSB,NBA,C,81,81,27.7,1.2,2.3,.508,0.0,0.0,,1.2,2.3,.508,.508,0.8,1.3,.648,1.8,4.4,6.2,1.7,0.6,2.4,0.9,3.7,3.2
1990-91,33.0,WSB,NBA,C,62,54,24.2,1.1,2.0,.540,0.0,0.0,,1.1,2.0,.540,.540,0.5,0.8,.580,1.9,3.9,5.8,0.8,0.8,2.0,0.7,3.2,2.6
1991-92,34.0,WSB,NBA,C,75,32,18.2,0.4,1.2,.367,0.0,0.0,,0.4,1.2,.367,.367,0.3,0.5,.500,1.4,2.8,4.2,0.8,0.6,1.2,0.5,2.9,1.1
1992-93,35.0,WSB,NBA,C,67,21,18.0,0.5,0.9,.524,0.0,0.0,.000,0.5,0.9,.532,.524,0.3,0.6,.579,1.3,2.8,4.1,0.6,0.6,1.1,0.6,2.1,1.3
1993-94,36.0,DET,NBA,C,42,0,20.9,0.9,1.9,.462,0.0,0.0,.000,0.9,1.8,.468,.462,0.5,0.8,.559,2.1,3.5,5.6,0.7,0.3,1.0,0.3,3.2,2.2
1994-95,37.0,HOU,NBA,PF,3,0,12.0,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.3,0.7,.500,0.7,1.7,2.3,0.0,0.0,0.3,0.0,2.7,1.0
1995-96,38.0,HOU,NBA,PF,46,0,6.5,0.1,0.4,.316,0.0,0.0,,0.1,0.4,.316,.316,0.1,0.3,.308,0.6,1.0,1.6,0.3,0.1,0.5,0.1,1.0,0.3
1996-97,39.0,HOU,NBA,PF,12,0,7.8,0.2,0.4,.400,0.0,0.0,,0.2,0.4,.400,.400,0.0,0.0,,0.4,0.7,1.1,0.3,0.2,0.3,0.0,0.7,0.3
1997-98,40.0,HOU,NBA,PF,24,0,5.3,0.3,0.4,.700,0.0,0.0,,0.3,0.4,.700,.700,0.0,0.1,.500,0.5,0.5,1.0,0.2,0.0,0.3,0.2,0.9,0.6
Career,,,NBA,,726,408,19.4,1.0,2.1,.480,0.0,0.0,.000,1.0,2.1,.482,.480,0.5,0.8,.618,1.5,2.9,4.5,0.9,0.6,1.6,0.7,2.9,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,WSB,NBA,,595,408,21.2,1.1,2.3,.483,0.0,0.0,.000,1.1,2.3,.484,.483,0.6,0.9,.633,1.6,3.2,4.9,1.0,0.7,1.8,0.8,3.1,2.8
4 seasons,,HOU,NBA,,85,0,6.5,0.2,0.4,.432,0.0,0.0,,0.2,0.4,.432,.432,0.1,0.2,.353,0.6,0.8,1.4,0.2,0.1,0.4,0.1,1.0,0.4
1 season,,DET,NBA,,42,0,20.9,0.9,1.9,.462,0.0,0.0,.000,0.9,1.8,.468,.462,0.5,0.8,.559,2.1,3.5,5.6,0.7,0.3,1.0,0.3,3.2,2.2
1 season,,CHI,NBA,,3,0,9.7,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,1.3,2.0,.667,0.7,1.3,2.0,0.3,0.0,1.7,1.3,2.0,2.7
1 season,,PHI,NBA,,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,4.0,.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
